topic1;question;category;
trastornos cardiovasculares;cómo reconocen síntomas signos estenosis pulmonar;12;
trastornos neurológicos;cómo trata síndrome dolor regional complejo;26;
trastornos endocrinológicos y metabólicos;cómo evalúa función tiroidea;22;
trastornos dermatológicos;dame información introducción enfermedad vitiligo;21;
cuidados críticos;cómo realiza canulación radial guiada ecografía cuidados críticos hay consejos trucos realizar canulación radial guiada ultrasonido;0;
trastornos pulmonares;cómo refiere generalmente neumonía organizada criptogénica trastornos pulmonares asociados;32;
trastornos dermatológicos;cómo presenta introducción carcinoma epidermoide cutáneo;21;
traumatismos y envenenamientos;cómo presentan síntomas fracturas cadera;35;
trastornos dermatológicos;cómo presenta introducción albinismo trastornos dermatológicos;21;
trastornos de la sangre;cómo presenta púrpura simple;15;
traumatismos y envenenamientos;cómo identifican síntomas síndrome serotonina síndrome serotoninérgico traumatismos envenenamientos;35;
trastornos renales y del tracto urinario;cómo trata inflamación escrotal;33;
infecciones;cómo trata infección virus inmunodeficiencia humana vih tratamiento antirretroviral efectos secundarios pueden ocurrir;7;
trastornos del hígado y de la vesícula biliar;cómo obtener información hepatitis b aguda;19;
trastornos otorrinolaringológicos;cómo presentan síntomas herpes zóster ótico;30;
hematología y oncología;cómo presentan síntomas signos telangiectasia hemorrágica hereditaria;6;
trastornos renales y del tracto urinario;cómo detectan síntomas cáncer testicular;33;
enfermedades cerebrales; medulares y nerviosas;cómo trata estupor coma neurológico;1
infecciones;cómo introduce tosferina pertusis infecciones;7;
cuidados críticos;qué cuidados críticos significan generalidades paro respiratorio signos síntomas este;0;
trastornos hepáticos y biliares;qué entiende hepatitis viral crónica cómo trata;23;
trastornos pulmonares;cómo reconocen síntomas signos neumotórax;32;
trastornos del hígado y de la vesícula biliar;cómo transmite hepatitis;19;
salud femenina;dame información introducción antecedentes ginecológicos salud femenina;10;
trastornos otorrinolaringológicos;cuál introducción barotraumatismo oído trastornos otorrinolaringológicos relacionados él;30;
trastornos dermatológicos;cómo produce acne vulgar;21;
trastornos de los huesos; articulaciones y músculos;cómo identifican síntomas síndrome túnel tarsiano;16
trastornos de la piel;cómo presentan infecciones bacterianas piel factores aumentan riesgo sufrirlas;13;
trastornos de los tejidos musculoesquelético y conectivo;cómo trata gangliones;17;
trastornos de los tejidos musculoesquelético y conectivo;cómo realiza artrocentesis tobillo qué contraindicaciones realizar artrocentesis tobillo;17;
trastornos de la sangre;cómo introduce procedimiento afèresis tratamiento trastornos sangre;15;
enfermedades cerebrales; medulares y nerviosas;cómo identifican síntomas absceso epidural espinal;1
trastornos nutricionales;cuáles conceptos clave relacionados obesidad trastornos nutricionales;27;
trastornos del corazón y los vasos sanguíneos;puede dar información síntomas enfermedades cardiovasculares vasculares;18;
trastornos otorrinolaringológicos;cómo presenta dermatitis canal auditivo;30;
trastornos dermatológicos;cómo realiza prueba tzanck diagnósticos trastornos cutáneos;21;
enfermedades cerebrales; medulares y nerviosas;cómo deben cuidarse cuidadores persona demencia asociada vih;1
hematología y oncología;qué entiende generalidades bazo campo hematología oncología qué asplenia;6;
trastornos neurológicos;dame información introducción cavidad siringomiélica médula espinal tronco encefálico;26;
trastornos neurológicos;qué entiende trastornos neurológicos sistema nervioso autónomo causa insuficiencia autónoma;26;
trastornos hepáticos y biliares;cómo identifican trastornos sistémicos hepatopatías cómo relacionan trastornos endocrinológicos enfermedades hepáticas biliares;23;
hematología y oncología;dame informaciones introducción hemosiderosis hematología oncología;6;
trastornos nutricionales;cómo entienden conceptos clave intoxicaciones vitamina cómo diagnosan trastornos nutricionales;27;
trastornos dermatológicos;cómo produce liquen simple crónico;21;
trastornos hepáticos y biliares;cómo identifican trastornos sistémicos hepatopatías trastornos hematológicos relacionados enfermedades hepáticas biliares;23;
trastornos nutricionales;cuáles conceptos clave nutrición parenteral total tratamiento trastornos nutricionales;27;
trastornos pulmonares;dame informaciones introductories proteinosis alveolar pulmonar;32;
geriatría;cómo refieren referencias generales campo geriatría relacionadas maltrato ancianos;4;
trastornos inmunológicos;cómo obtengo información deficiencia selectiva anticuerpos inmunoglobulinas normales trastornos inmunológicos;25;
infecciones;cómo preven infecciones salmonella;7;
trastornos psiquiátricos;dame información introducción trastornos pánico crisis pánico;31;
salud femenina;cómo presentan síntomas efectos agresión sexual violación salud femenina;10;
trastornos de los tejidos musculoesquelético y conectivo;cómo trata osteomielitis;17;
inmunología y trastornos alérgicos;cómo introduce trasplante páncreas campo inmunología trastornos alérgicos;8;
trastornos endocrinológicos y metabólicos;cómo trata diabetes mellitus;22;
trastornos urogenitales;cómo previene nefropatía contraste trastornos urogenitales;34;
trastornos psiquiátricos;cómo trata trastorno personalidad evitativa evitación;31;
traumatismos y envenenamientos;cómo trata traumatismo partes blandas envenenamiento;35;
trastornos de la sangre;cómo realiza afèresis plasmaféresis trastornos sangre;15;
trastornos urogenitales;cómo previene infección urinaria bacteriana;34;
trastornos de la piel;cómo presentan síntomas dermatofitosis;13;
trastornos hormonales y metabólicos;cómo diagnostica hiperalfalipoproteinemia familiar colesterol hdl alto;24;
ginecología y obstetricia;cómo funcionan esponjas anticonceptivas cómo utilizan anticonceptivos pericoitales anticonceptivos barrera ginecología obstetricia;5;
hematología y oncología;cómo refiere general mutación gen 20210 protrombina factor ii hematología oncología;6;
trastornos cardiovasculares;cómo produce linfedema;12;
trastornos nutricionales;cómo diagnostica deficiencia vitamina nutricional;27;
infecciones;cómo diagnostican infecciones virus ébola virus marburg;7;
ginecología y obstetricia;dame informaciones introducción mortalidad materna perinatal ginecología obstetricia;5;
trastornos endocrinológicos y metabólicos;cómo diagnostica hipofosfatemia;22;
trastornos cardiovasculares;dame información introducción medicamentos insuficiencia cardíaca;12;
trastornos odontológicos;cómo realiza posicionamiento hacer bloqueo nervio alveolar inferior odontología;28;
trastornos de la sangre;cómo establecen linfoma hodgkin;15;
ginecología y obstetricia;cómo induce trabajo parto;5;
enfermedades cerebrales; medulares y nerviosas;qué enfermedades desmielinizantes causan;1
trastornos neurológicos;cómo estudia epidemiología migraña;26;
trastornos del corazón y los vasos sanguíneos;cómo trata insuficiencia venosa crónica síndrome posflebítico;18;
trastornos neurológicos;cómo presenta trastorno espectro neuromielitis óptica;26;
trastornos del hígado y de la vesícula biliar;cómo transmite hepatitis b;19;
trastornos del hígado y de la vesícula biliar;cómo transmite hepatitis e;19;
trastornos pulmonares;cómo trata neumonía intersticial descamativa;32;
trastornos hepáticos y biliares;cómo previene hepatitis c aguda;23;
enfermedades cerebrales; medulares y nerviosas;cómo trata dolor enfermedades cerebrales medulares nerviosas utilizando analgésicos opiáceos;1
salud femenina;cuál introducción cambios físicos embarazo materia salud femenina;10;
trastornos renales y del tracto urinario;dame información enfermedad renal poliquística poliquistosis renal introducción;33;
traumatismos y envenenamientos;cómo introduce tema picaduras ácaros envenenamientos;35;
trastornos neurológicos;qué conceptos clave distonía cervical;26;
fundamentos;cómo elegir actividad física correcta según fundamentos actividades;2;
trastornos del hígado y de la vesícula biliar;cómo diagnostica hepatitis b aguda crónica;19;
trastornos dermatológicos;cómo presenta introducción queratosis actínica;21;
enfermedades cerebrales; medulares y nerviosas;cómo diagnitan causas meningitis recurrente;1
trastornos dermatológicos;cómo presenta diagnostica enfermedad paget pezón;21;
trastornos cardiovasculares;dame informaciones introductivas acrocianosis;12;
fundamentos;qué decisiones tomar muerte según fundamentos;2;
hematología y oncología;cómo trata hiperesplenismo;6;
cuidados críticos;cómo trata lactante consciente asfixia qué advertencias errores comunes deben tener cuenta;0;
inmunología y trastornos alérgicos;cómo realiza pronóstico trasplante células madre hematopoyéticas;8;
infecciones;dame informaciones introducción listeriosis;7;
traumatismos y envenenamientos;cómo introduce tema mordeduras serpiente traumatismos envenenamientos;35;
fundamentos;cómo establecen fundamentos voluntades anticipadas testamento vital;2;
infecciones;cómo previene poliomielitis;7;
traumatismos y envenenamientos;cómo diagnostica intoxicación aspirina salicilatos distintos aspirina;35;
trastornos odontológicos;qué entiende emergencias odontológicas generales cuándo utilizan antibióticos profilácticos;28;
enfermedades cerebrales; medulares y nerviosas;introduceme enfermedades cerebrales medulares nerviosas relacionadas dolor cabeza cómo aborda tratamiento;1
trastornos de la piel;cómo presentan trastornos piel cómo influye envejecimiento ella;13;
trastornos de los huesos; articulaciones y músculos;cómo presenta artropatía neurógena;16
trastornos de la piel;cómo presenta paroniquia aguda;13;
trastornos urogenitales;cómo diagnostica necrosis tubular aguda;34;
trastornos odontológicos;cómo presenta introducción estomatitis aftosa recurrente trastornos odontológicos;28;
traumatismos y envenenamientos;cómo presentan síntomas desprendimiento retina causado lesión ocular;35;
trastornos oftálmicos;dame información introducción endoftalmitis;29;
cuidados críticos;cómo posiciona paciente realizar canulación vena femoral guiada ultrasonidos cómo realiza canulación vena femoral guiada ecografía cuidados críticos;0;
ginecología y obstetricia;cómo diagnostica embarazo ectópico;5;
salud femenina;cómo identifican problemas líquido amniótico salud femenina;10;
infecciones;cómo obtengo información vacuna varicela relación infecciones;7;
trastornos del corazón y los vasos sanguíneos;cómo manejan complicaciones síndrome coronario agudo coágulos sangre relacionados trastornos corazón vasos sanguíneos;18;
trastornos cardiovasculares;cuáles conceptos clave displasia fibromuscular cómo diagnostican trastornos cardiovasculares;12;
trastornos urogenitales;cómo diagnostica enfermedad riñón esponjoso medular;34;
inmunología y trastornos alérgicos;cuáles conceptos clave candidiasis mucocutánea crónica inmunología trastornos alérgicos;8;
cuidados críticos;cómo recomiendan sugieren insertar mascarilla laríngea asegurar vía aérea cuidados críticos;0;
cuidados críticos;cómo realiza ventilación bolsa válvula mascarilla bvm tipo ambúlante consideraciones adicionales deben tenerse cuenta;0;
trastornos del corazón y los vasos sanguíneos;dame información insuficiencia venosa crónica síndrome posflebítico;18;
trastornos del pulmón y las vías respiratorias;qué conceptos clave tos adultos relación trastornos pulmón vías respiratorias;20;
trastornos endocrinológicos y metabólicos;cómo diagnostica protoporfiria eritropoyética protoporfiria ligada cromosoma x;22;
salud femenina;dame información cáncer ovario trompa falopio peritoneal;10;
trastornos otorrinolaringológicos;cómo obtengo información otitis externa aguda;30;
trastornos del corazón y los vasos sanguíneos;cómo trata bloqueo cardíaco bloqueo auriculoventricular;18;
trastornos nutricionales;cómo presenta deficiencia ácidos grasos esenciales;27;
trastornos urogenitales;cómo trata nefropatía mieloma pacientes trastornos urogenitales;34;
fundamentos;cuándo debemos ir clínica fundamentos cuántas visitas periódicas debemos realizar;2;
trastornos urogenitales;cómo manejan trastornos urogenitales endocrinología reproductiva masculina cómo influye envejecimiento;34;
enfermedades cerebrales; medulares y nerviosas;qué importante saber sueño personas mayores enfermedades cerebrales medulares nerviosas introducción;1
trastornos del corazón y los vasos sanguíneos;cuáles conceptos clave ganglios linfáticos inflamados enfermedades cardiovasculares;18;
cuidados críticos;cómo hacer canulación arteria radial guiada ecografía cuidados críticos;0;
trastornos de la sangre;cómo evaluar hematomas sangrado;15;
trastornos del corazón y los vasos sanguíneos;cómo trata aneurisma arterias brazos piernas corazón;18;
trastornos cardiovasculares;cómo complican uso marcapasos cardíacos;12;
trastornos pulmonares;cómo reconocen síntomas silicosis;32;
inmunología y trastornos alérgicos;cómo tratan trastornos inmunológicos alérgicos tratamientos inmunes simuladores moléculas pequeñas;8;
hematología y oncología;cómo utilizan hemoderivados productos hematología oncología;6;
trastornos de la salud mental;cómo trata trastorno evitación restricción ingesta alimentos;14;
trastornos de la piel;cómo presenta introducción piel seca xeroderma;13;
ginecología y obstetricia;cómo trabaja parto pretermino ginecología obstetricia;5;
trastornos endocrinológicos y metabólicos;cómo presenta introducción aldosteronismo primario;22;
trastornos del hígado y de la vesícula biliar;cómo presentan tumores hepáticos quistes;19;
trastornos de la piel;cómo diagnostica enfermedad paget pezón;13;
trastornos neurológicos;cómo diagnostica meningitis;26;
trastornos cardiovasculares;cómo trata pericarditis;12;
trastornos del pulmón y las vías respiratorias;cómo presentan síntomas tumores vías respiratorias;20;
trastornos oftálmicos;cómo diagnostica uveítis infecciosa cómo diferencia hsv vzv uveítis;29;
trastornos endocrinológicos y metabólicos;qué entiende generalidades función tiroidea métodos utilizan captación yodo radiactivo técnicas diagnóstico imágenes contexto trastornos endocrinológicos metabólicos;22;
trastornos hepáticos y biliares;qué entiende generalidades hepatitis viral crónica cómo produce hepatitis viral crónica;23;
trastornos del pulmón y las vías respiratorias;cómo identifican síntomas neumonía personas inmunocomprometidas;20;
trastornos oftálmicos;cómo trata retinopatía diabética;29;
ginecología y obstetricia;cómo realizan pruebas genéticas prenatales padres pruebas diagnósticas genéticas fetales ginecología obstetricia;5;
trastornos del corazón y los vasos sanguíneos;cómo presentan trastornos corazón vasos sanguíneos insuficiencia venosa crónica síndrome posflebítico;18;
salud femenina;cómo realizan pruebas diagnóstico prenatal salud femenina;10;
trastornos cardiovasculares;cómo manejan complicaciones síndromes coronarios agudos defectos conducción;12;
trastornos urogenitales;cómo reconocen síntomas nefropatía analgésicos;34;
fundamentos;cómo previene personas mayores lesiones;2;
hematología y oncología;cuál introducción trastornos coagulación hereditarios infrecuentes hematología oncología;6;
trastornos del hígado y de la vesícula biliar;cómo presenta hígado trastornos;19;
trastornos de los tejidos musculoesquelético y conectivo;cómo clasifica miositis autoinmune;17;
trastornos neurológicos;cómo presenta enfermedad gerstmann sträussler scheinker gss;26;
ginecología y obstetricia;dame informaciones introducción pérdida recurrente embarazo;5;
trastornos de la piel;cómo presentan síntomas erupciones causadas medicamentos;13;
trastornos endocrinológicos y metabólicos;qué entiende función suprarrenal hace corteza suprarrenal;22;
trastornos urogenitales;podrías darme información general glomerulopatías;34;
trastornos endocrinológicos y metabólicos;cómo trata neoplasia endocrina múltiple tipo 1 nem 1;22;
trastornos de la piel;cómo detectan deformidades congénitas uñas;13;
trastornos renales y del tracto urinario;dame informaciones introductories trombosis vena renal;33;
trastornos del corazón y los vasos sanguíneos;dame información introducción tumores cardíacos cancerosos;18;
trastornos del pulmón y las vías respiratorias;cómo diagnostica sarcoidosis síndrome blau;20;
trastornos hormonales y metabólicos;cómo presentan síntomas bocio tóxico simple trastornos hormonales metabólicos;24;
trastornos renales y del tracto urinario;dame información acidosis tubular renal;33;
trastornos dermatológicos;cómo reconocen síntomas dermatitis herpetiforme;21;
trastornos urogenitales;cuáles conceptos clave nefritis tubulointersticial trastornos urogenitales;34;
infecciones;cómo presentan síntomas ascariasis;7;
trastornos de los tejidos musculoesquelético y conectivo;cómo reconocen signos síntomas artropatía neurogénica;17;
trastornos endocrinológicos y metabólicos;cómo trata dislipidemia;22;
trastornos de la salud mental;cómo presenta trastorno personalidad obsesivocompulsiva;14;
salud de las personas de edad avanzada;cómo manejan cambios corporales relacionados envejecimiento boca nariz personas mayores;9;
infecciones;cómo presentan infecciones saber macrólidos introducción;7;
trastornos dermatológicos;cómo presentan síntomas signos paroniquia aguda;21;
cuidados críticos;cómo tratan recién nacidos conscientes asfixian qué recomendaciones sugerencias deben seguir;0;
trastornos endocrinológicos y metabólicos;cómo presentan síntomas signos porfirias agudas;22;
trastornos de los tejidos musculoesquelético y conectivo;cómo causa dolor articulación individual;17;
trastornos neurológicos;qué conceptos clave enfermedad parkinson;26;
enfermedades cerebrales; medulares y nerviosas;cómo presentan síntomas enfermedad alzheimer;1
trastornos nutricionales;cómo presenta deficiencia vitamina nutricional;27;
trastornos oftálmicos;cómo detectan trastornos oculares utilizando pruebas tomografía computarizada tc resonancia magnética nuclear rmn;29;
trastornos pulmonares;cómo produce patología silicosis;32;
trastornos pulmonares;cómo produce sarcoidosis;32;
trastornos hepáticos y biliares;qué conceptos clave trastornos hepáticos biliares relacionados ascitis;23;
geriatría;cómo evaluar caídas personas mayores;4;
trastornos cardiovasculares;cómo manejan complicaciones síndromes coronarios agudos relación trastornos músculos papilares trastornos cardiovasculares;12;
trastornos de la sangre;cómo presentan talasemias;15;
ginecología y obstetricia;cómo estudia patología cáncer vulva;5;
trastornos del hígado y de la vesícula biliar;cómo causan trombosis vena porta;19;
trastornos odontológicos;qué entiende emergencias odontológicas cómo abordan;28;
traumatismos y envenenamientos;cómo presentan desgarros tendón aquiles cómo diagnositan;35;
trastornos nutricionales;cuáles conceptos clave síndrome metabólico nutricional;27;
ginecología y obstetricia;cómo trata moco cervical anormal;5;
trastornos cardiovasculares;cómo reconocen signos síntomas edema pulmonar;12;
trastornos del pulmón y las vías respiratorias;cómo presenta diagnostica fibrosis pulmonar idiopática;20;
ginecología y obstetricia;dame informaciones manejo parto normal ginecología obstetricia;5;
trastornos dermatológicos;cómo trata lunares atípicos;21;
traumatismos y envenenamientos;cómo presentan síntomas barotrauma;35;
trastornos otorrinolaringológicos;cómo elimina cerumen manualmente irrigación tratamiento trastornos otorrinolaringológicos qué advertencias errores comunes deben tener cuenta extraer cerumen;30;
trastornos dermatológicos;cómo produce acné vulgar;21;
infecciones;cómo previene toxocariasis;7;
trastornos hormonales y metabólicos;cómo identifican síntomas amiloidosis;24;
ginecología y obstetricia;cómo presenta estenosis cervical uterina ginecología obstetricia;5;
salud femenina;cómo cambian condiciones salud femenina embarazo cómo afecta tubo digestivo;10;
cuidados críticos;cómo evaluar desaturación oxígeno cuidados críticos;0;
trastornos del corazón y los vasos sanguíneos;dame informaciones introductivas miocardiopatía hipertrófica;18;
trastornos neurológicos;cómo trata apraxia;26;
ginecología y obstetricia;cómo diagnostica embarazo ectópico;5;
trastornos nutricionales;cómo causan deficiencias vitamina;27;
traumatismos y envenenamientos;cómo diagnostican fracturas palma mano;35;
trastornos psiquiátricos;dame información introducción trastornos psiquiátricos relacionados conducta suicida;31;
trastornos urogenitales;cómo reconocen síntomas signos necrosis tubular aguda;34;
trastornos oftálmicos;cómo produce neuropatía óptica tóxica nutricional;29;
trastornos dermatológicos;cómo manejan manchas blancas contexto traumatismos uñas trastornos dermatológicos;21;
ginecología y obstetricia;cómo realizar examen médico víctima violación;5;
trastornos pulmonares;cómo hace toracostomía aguja trastornos pulmonares consideraciones adicionales deben tenerse cuenta;32;
cuidados críticos;cómo realiza canulación vena yugular interna bajo guía ecográfica cuidados críticos qué advertencias errores comunes tener cuenta;0;
trastornos nutricionales;dame informaciones introductories deficiencia tiamina;27;
trastornos neurológicos;qué entiende enfermedades producidas priones cómo transmiten;26;
trastornos cardiovasculares;cómo trata tromboangeítis obliterante;12;
trastornos de los huesos; articulaciones y músculos;cómo diagnitan quistes óseos unicamerales;16
trastornos de los huesos; articulaciones y músculos;dame información introducción polimialgia reumática;16
trastornos de los tejidos musculoesquelético y conectivo;dame informaciones introducción hernia lumbar núcleo pulposo;17;
trastornos de la piel;cómo presentan trastornos lunares piel;13;
enfermedades cerebrales; medulares y nerviosas;cómo presentan infecciones parasitarias cerebro;1
inmunología y trastornos alérgicos;cómo introduce trasplante células madre hematopoyéticas inmunología trastornos alérgicos;8;
trastornos de la piel;dame información introducción trastornos piel causados medicamentos;13;
trastornos cardiovasculares;dime miocardiopatía dilatada;12;
hematología y oncología;cómo produce funciona eosinofilia hematología oncología;6;
ginecología y obstetricia;cómo realiza evaluación médica víctima violación;5;
hematología y oncología;cómo presentan signos síntomas síndrome mielodisplásico;6;
trastornos neurológicos;cómo presenta miastenia grave cómo diagnostica;26;
trastornos pulmonares;cómo trata disnea;32;
trastornos endocrinológicos y metabólicos;cómo diagnostica sobrecarga volumen;22;
trastornos pulmonares;cómo diagnostica neumonía asociada respirador;32;
hematología y oncología;cómo presenta gammapatía monoclonal significación indeterminada gmsi hematología oncología;6;
trastornos cardiovasculares;cómo realiza diagnóstico trastornos cardiovasculares mediante estudios imagen cardíacos;12;
trastornos dermatológicos;cuáles conceptos clave sarna;21;
geriatría;podrías darme informaciones generales conductor anciano campo geriatría;4;
trastornos del corazón y los vasos sanguíneos;dame información introducción varices;18;
trastornos cardiovasculares;cuáles conceptos clave oclusión ramas aorta abdominal trastornos cardiovasculares;12;
enfermedades cerebrales; medulares y nerviosas;cómo diagnostica esclerosis múltiple;1
trastornos endocrinológicos y metabólicos;cómo trata enfermedad addison;22;
inmunología y trastornos alérgicos;cómo diagnostica anafilaxia;8;
trastornos cardiovasculares;dame informaciones introductivas oclusión arterial periférica aguda;12;
trastornos endocrinológicos y metabólicos;cómo causa hipoglucemia;22;
inmunología y trastornos alérgicos;cómo trata síndrome hiper igm;8;
trastornos cardiovasculares;cómo diagnostica endocarditis infecciosa;12;
traumatismos y envenenamientos;cómo presentan traumatismos envenenamientos hematomas intracraneales;35;
trastornos otorrinolaringológicos;cómo previene hipoacusia;30;
trastornos dermatológicos;dime melanoma;21;
salud femenina;cómo detecta cáncer embarazo recto mujeres;10;
trastornos de la piel;cómo presenta introducción liquen simple crónico piel;13;
enfermedades cerebrales; medulares y nerviosas;dame información introducción daños sistema nervioso causados radioterapia;1
trastornos endocrinológicos y metabólicos;cómo presenta introducción bocio simple tóxico contexto trastornos endocrinológicos metabólicos;22;
salud femenina;qué conceptos clave salud femenina relacionados dolor mama;10;
trastornos odontológicos;cómo abordar paciente odontológico conceptos básicos geriatría relevantes;28;
traumatismos y envenenamientos;cómo manejan complicaciones ahogamiento;35;
fundamentos;cómo preven personas mayores mediante fundamentos prevención medicamentos vacunas;2;
trastornos del corazón y los vasos sanguíneos;cómo diagnostica aneurisma arterias brazos piernas corazón;18;
trastornos neurológicos;cómo previene encefalopatía crónica traumática;26;
trastornos otorrinolaringológicos;cuáles conceptos clave neuronitis vestibular campo trastornos otorrinolaringológicos;30;
hematología y oncología;cómo diagnostica linfoma cutáneo linfocitos;6;
traumatismos y envenenamientos;cómo diagnostica contusión pulmonar;35;
trastornos hormonales y metabólicos;cómo trata dislipidemia;24;
ginecología y obstetricia;cómo previene hemorragia posparto;5;
fundamentos;cómo rehabilitan trastornos junto artritis;2;
inmunología y trastornos alérgicos;cómo introduce trasplante hígado campo inmunología trastornos alérgicos;8;
ginecología y obstetricia;cuál etiología dolor pelviano principio embarazo ginecología obstetricia;5;
trastornos cardiovasculares;cómo funciona insuficiencia cardíaca;12;
trastornos de la piel;cómo trata retroniquia;13;
trastornos endocrinológicos y metabólicos;qué entiende porfirias cómo ocurre fisiopatología;22;
enfermedades cerebrales; medulares y nerviosas;cómo causan trastornos plexos;1
ginecología y obstetricia;cómo causa trastorno excitación sexual;5;
trastornos oftálmicos;cuáles conceptos clave relacionados cataratas trastornos oftálmicos;29;
trastornos endocrinológicos y metabólicos;podrías darme información general trastornos concentración potasio;22;
trastornos neurológicos;cómo diagnostican tumores espinales tumores extramedulares neurológicos;26;
trastornos psiquiátricos;cómo refiere generalmente trastorno dismórfico corporal;31;
ginecología y obstetricia;cómo diagnostica cáncer vulva;5;
salud femenina;cómo diagnostica embarazo molar;10;
trastornos hepáticos y biliares;cómo detectan tumores hepáticos benignos hiperplasia nodular focal trastornos hepáticos biliares;23;
salud femenina;cómo trata aumento mamarios salud femenina;10;
trastornos otorrinolaringológicos;cómo reconocen síntomas cáncer nasofaríngeo;30;
trastornos endocrinológicos y metabólicos;cómo causa síndrome cushing;22;
trastornos cardiovasculares;podrías darme información general enfermedad coronaria factores riesgo ella;12;
salud femenina;cómo trata tumores malignos aparato reproductor femenino;10;
trastornos del pulmón y las vías respiratorias;cómo presenta introducción silicosis;20;
trastornos de la sangre;cómo presentan síntomas linfocitopenia;15;
ginecología y obstetricia;cómo manejan trastornos cardíacos embarazo trastornos cardíacos ginecología obstetricia;5;
trastornos hormonales y metabólicos;dame informaciones introductories hipercalcemia;24;
traumatismos y envenenamientos;dame información introducción lesiones riñón debido traumatismos envenenamientos;35;
traumatismos y envenenamientos;cómo trata dedo césped;35;
trastornos endocrinológicos y metabólicos;qué protoporfiria eritropoyética protoporfiria ligada cromosoma x trastornos endocrinológicos metabólicos;22;
cuidados críticos;cómo presenta situación choque cuidados críticos;0;
trastornos neurológicos;cómo trata dolor neurológico medicamentos opiáceos;26;
trastornos de los tejidos musculoesquelético y conectivo;cómo posiciona paciente inyectar bolsa trocantérica cómo realiza procedimiento;17;
trastornos oftálmicos;cómo presenta queratitis herpes simple;29;
trastornos de la salud mental;cómo presentan trastornos relacionados sustancias drogas salud mental;14;
trastornos del corazón y los vasos sanguíneos;cómo identifican síntomas mixomas;18;
traumatismos y envenenamientos;cómo trata iritis traumática química;35;
trastornos oftálmicos;cómo trata úlcera corneal;29;
trastornos oftálmicos;cómo presentan trastornos cavidad ocular órbita;29;
trastornos cardiovasculares;cuáles conceptos clave aleteo auricular relación trastornos cardiovasculares;12;
trastornos cardiovasculares;cómo reconocen síntomas signos miocardiopatía restrictiva;12;
trastornos psiquiátricos;cómo diagnostica frotteurismo;31;
trastornos nutricionales;cómo manejan trastornos nutricionales después cirugía bariátrica;27;
trastornos cardiovasculares;cómo evalúa pronóstico hipertensión arterial;12;
trastornos neurológicos;dame información introducción demencia cuerpos lewy demencia enfermedad parkinson;26;
trastornos de los tejidos musculoesquelético y conectivo;cómo trata bursitis calcánea inferior;17;
salud femenina;cómo identifican factores riesgo infección intraamniótica;10;
trastornos del pulmón y las vías respiratorias;cómo presenta introducción carcinoide bronquial;20;
fundamentos;podrías darme información aceptación muerte hecho morir fundamentos;2;
trastornos urogenitales;cómo previene formación piedras urinarias;34;
trastornos urogenitales;cómo clasifica prostatitis;34;
trastornos urogenitales;cómo trata hematospermia;34;
enfermedades cerebrales; medulares y nerviosas;cómo trata accidente cerebrovascular isquémico;1
trastornos oftálmicos;cómo trata proptosis;29;
trastornos del corazón y los vasos sanguíneos;cómo presentan síntomas tumores cardíacos;18;
trastornos de la piel;cómo diagnostica infestación sarna;13;
trastornos nutricionales;cómo previene deficiencia vitamina b12;27;
trastornos de la sangre;cómo presentan síntomas hemocromatosis;15;
trastornos endocrinológicos y metabólicos;cómo diagnostica hiponatremia;22;
trastornos del hígado y de la vesícula biliar;cómo clasifica daño hepático causado medicamentos;19;
ginecología y obstetricia;cuáles conceptos clave enfermedades infecciosas embarazo ginecología obstetricia;5;
enfermedades cerebrales; medulares y nerviosas;cómo diagnostican trastornos unión craneocervical;1
trastornos hepáticos y biliares;cómo introduce disfunción hepática posquirúrgica;23;
trastornos dermatológicos;cómo diagnostica dermatosis neutrofílica febril aguda;21;
salud femenina;cuáles conceptos clave relacionados secreción pezón contexto salud femenina;10;
trastornos oftálmicos;dame informaciones introducción glaucoma;29;
enfermedades cerebrales; medulares y nerviosas;qué introducción trastornos médula espinal causan;1
trastornos de los tejidos musculoesquelético y conectivo;cómo hago inyección bolsa subacromial trastornos tejidos musculoesqueléticos conectivos;17;
trastornos del hígado y de la vesícula biliar;cómo detecta fibrosis hepática;19;
trastornos urogenitales;dame informaciones introductories necrosis cortical renal;34;
trastornos cardiovasculares;cómo produce enfermedad venas varicosas;12;
trastornos inmunológicos;cómo introduce trasplante qué tipo donantes utilizan;25;
enfermedades cerebrales; medulares y nerviosas;cómo presentan síntomas cefaleas racimos enfermedades cerebrales medulares nerviosas;1
trastornos pulmonares;medications used treating asthma;32;
cuidados críticos;cómo hace canulación intraosa manualmente taladro eléctrico cuidados críticos equipo utiliza;0;
trastornos del corazón y los vasos sanguíneos;dame información miocardiopatía hipertrófica;18;
trastornos dermatológicos;cómo presenta introducción enfermedad ictiosis;21;
trastornos psiquiátricos;cómo refiere generalmente agorafobia trastornos psiquiátricos relacionada;31;
trastornos otorrinolaringológicos;cómo trata anosmia;30;
trastornos de la piel;cómo previene dermatitis contacto;13;
trastornos dermatológicos;qué entiende dermatofitosis signos síntomas presentan infecciones cutáneas;21;
trastornos del corazón y los vasos sanguíneos;cómo trata taquicardia ventricular torsade pointes;18;
trastornos psiquiátricos;qué entiende trastornos ansiedad cómo trata;31;
trastornos hormonales y metabólicos;cómo causan trastornos hiperpotasemia;24;
trastornos oftálmicos;cómo identifican trastornos oftálmicos síntomas oculares sensibilidad luz;29;
